modelo,ponderado_ajuste,n_entrenamiento,personas_ajuste_fex_c,n_validacion,personas_validacion_fex_c
M0,False,10263,,4500,1186728.9803680193
M1,False,10263,,4500,1186728.9803680193
M2,False,10263,,4500,1186728.9803680193
M3,False,10263,,4500,1186728.9803680193
M4,False,10263,,4500,1186728.9803680193
M4i,False,10263,,4500,1186728.9803680193
M5,False,10263,,4500,1186728.9803680193
M6,False,10263,,4500,1186728.9803680193
M7,False,10263,,4500,1186728.9803680193
M8,False,10263,,4500,1186728.9803680193
M9,False,10263,,4500,1186728.9803680193
R1,False,10263,,4500,1186728.9803680193
R2,False,10263,,4500,1186728.9803680193
R3,False,10263,,4500,1186728.9803680193
R4,False,10263,,4500,1186728.9803680193
M1w,True,10263,2499676.7619239194,4500,1186728.9803680193
M2w,True,10263,2499676.7619239194,4500,1186728.9803680193
M3w,True,10263,2499676.7619239194,4500,1186728.9803680193
M4w,True,10263,2499676.7619239194,4500,1186728.9803680193
M4iw,True,10263,2499676.7619239194,4500,1186728.9803680193
R5,False,10263,,4500,1186728.9803680193
R6,False,10263,,4500,1186728.9803680193
R7,False,10263,,4500,1186728.9803680193
M10,False,10263,,4500,1186728.9803680193
